,ref_transcript,hyp_transcript,diff_name,diff_type,frequency,percentage
147,aa-rev,openai-async,switch_sin_plu_20b,morpho_syntax,23,0.002425137072964994
148,aa-rev,openai-async,stem_for_past_20e,morpho_syntax,53,0.005588359342049768
149,aa-rev,openai-async,add_pronoun_21d,morpho_syntax,105,0.011071277941796711
150,aa-rev,openai-async,if_whether_del_23b,morpho_syntax,12,0.0012652889076339097
151,aa-rev,openai-async,it_there_sub_24a,morpho_syntax,18,0.0018979333614508645
152,aa-rev,openai-async,is_red_form,morpho_syntax,117,0.01233656684943062
153,aa-rev,openai-async,is_lexical,morpho_syntax,431,0.045444959932517924
154,aa-rev,openai-async,is_contraction,reductions,46,0.004850274145929988
155,aa-rev,openai-async,filler_sub,verbatim,20,0.002108814846056516
156,aa-rev,openai-async,filler_del,verbatim,1742,0.18367777309152256
157,aa-rev,openai-async,del_restart,verbatim,370,0.03901307465204555
158,aa-rev,openai-async,invariant_be_19b,morpho_syntax,33,0.003479544495993252
159,aa-rev,openai-async,gone_go_19n,morpho_syntax,2,0.00021088148460565162
160,aa-rev,openai-async,they_their_sub_8ish,morpho_syntax,10,0.001054407423028258
161,aa-rev,openai-async,finna_19i,morpho_syntax,3,0.0003163222269084774
162,aa-rev,openai-async,aint_sub_22a,morpho_syntax,4,0.00042176296921130323
163,aa-rev,openai-async,here_go_24c,morpho_syntax,1,0.00010544074230282581
164,aa-rev,openai-async,done_del_19g,morpho_syntax,1,0.00010544074230282581
165,aa-rev,openai-async,all_combined,morpho_syntax,1012,0.10670603121045973
166,aa-rev,openai-async,all_combined,reductions,46,0.004850274145929988
167,aa-rev,openai-async,all_combined,verbatim,2132,0.22479966258962464
168,aa-rev,rev,final_s_del_20a_21b,morpho_syntax,106,0.014232008592910848
169,aa-rev,rev,add_pronoun_21d,morpho_syntax,88,0.011815252416756176
170,aa-rev,rev,is_red_form,morpho_syntax,120,0.01611170784103115
171,aa-rev,rev,filler_sub,verbatim,176,0.023630504833512353
172,aa-rev,rev,is_restart,verbatim,155,0.020810955961331902
173,aa-rev,rev,del_restart,verbatim,282,0.0378625134264232
174,aa-rev,rev,stem_for_past_20e,morpho_syntax,66,0.008861439312567132
175,aa-rev,rev,filler_del,verbatim,329,0.044172932330827065
176,aa-rev,rev,future_ll_del_19c,morpho_syntax,27,0.0036251342642320086
177,aa-rev,rev,is_lexical,morpho_syntax,423,0.056793770139634804
178,aa-rev,rev,cop_aux_del_19a,morpho_syntax,67,0.008995703544575726
179,aa-rev,rev,invariant_be_19b,morpho_syntax,30,0.004027926960257788
180,aa-rev,rev,switch_sin_plu_20b,morpho_syntax,21,0.002819548872180451
181,aa-rev,rev,if_whether_del_23b,morpho_syntax,14,0.0018796992481203006
182,aa-rev,rev,gone_go_19n,morpho_syntax,26,0.003490870032223416
183,aa-rev,rev,is_contraction,reductions,51,0.006847475832438239
184,aa-rev,rev,they_their_sub_8ish,morpho_syntax,13,0.001745435016111708
185,aa-rev,rev,it_there_sub_24a,morpho_syntax,14,0.0018796992481203006
186,aa-rev,rev,done_del_19g,morpho_syntax,1,0.0001342642320085929
187,aa-rev,rev,aint_sub_22a,morpho_syntax,6,0.0008055853920515575
188,aa-rev,rev,finna_19i,morpho_syntax,3,0.00040279269602577875
189,aa-rev,rev,all_combined,morpho_syntax,1025,0.13762083780880774
190,aa-rev,rev,all_combined,reductions,51,0.006847475832438239
191,aa-rev,rev,all_combined,verbatim,942,0.1264769065520945
192,coraal,revai_v2-async,cop_aux_del_19a,morpho_syntax,69,0.008849557522123894
193,coraal,revai_v2-async,invariant_be_19b,morpho_syntax,27,0.0034628703347441324
194,coraal,revai_v2-async,future_ll_del_19c,morpho_syntax,15,0.001923816852635629
195,coraal,revai_v2-async,final_s_del_20a_21b,morpho_syntax,93,0.0119276644863409
196,coraal,revai_v2-async,switch_sin_plu_20b,morpho_syntax,16,0.0020520713094780044
197,coraal,revai_v2-async,stem_for_past_20e,morpho_syntax,63,0.008080030781069641
198,coraal,revai_v2-async,add_pronoun_21d,morpho_syntax,91,0.011671155572656149
199,coraal,revai_v2-async,if_whether_del_23b,morpho_syntax,13,0.0016673079389508785
200,coraal,revai_v2-async,it_there_sub_24a,morpho_syntax,15,0.001923816852635629
201,coraal,revai_v2-async,they_their_sub_8ish,morpho_syntax,11,0.001410799025266128
202,coraal,revai_v2-async,gone_go_19n,morpho_syntax,5,0.0006412722842118764
203,coraal,revai_v2-async,is_red_form,morpho_syntax,333,0.042708734128510964
204,coraal,revai_v2-async,is_lexical,morpho_syntax,465,0.0596383224317045
205,coraal,revai_v2-async,is_contraction,reductions,38,0.00487366936001026
206,coraal,revai_v2-async,filler_sub,verbatim,435,0.055790688726433245
207,coraal,revai_v2-async,filler_del,verbatim,424,0.05437988970116712
208,coraal,revai_v2-async,del_restart,verbatim,655,0.0840066692317558
209,coraal,revai_v2-async,finna_19i,morpho_syntax,6,0.0007695267410542517
210,coraal,revai_v2-async,aint_sub_22a,morpho_syntax,4,0.0005130178273695011
211,coraal,revai_v2-async,done_del_19g,morpho_syntax,1,0.00012825445684237527
212,coraal,revai_v2-async,all_combined,morpho_syntax,1227,0.15736821854559446
213,coraal,revai_v2-async,all_combined,reductions,38,0.00487366936001026
214,coraal,revai_v2-async,all_combined,verbatim,1514,0.19417724765935615
215,aa-rev,revai_v2-async,cop_aux_del_19a,morpho_syntax,79,0.00832981864192324
216,aa-rev,revai_v2-async,future_ll_del_19c,morpho_syntax,19,0.0020033741037536906
217,aa-rev,revai_v2-async,final_s_del_20a_21b,morpho_syntax,101,0.010649514972585407
218,aa-rev,revai_v2-async,switch_sin_plu_20b,morpho_syntax,23,0.002425137072964994
219,aa-rev,revai_v2-async,stem_for_past_20e,morpho_syntax,53,0.005588359342049768
220,aa-rev,revai_v2-async,add_pronoun_21d,morpho_syntax,105,0.011071277941796711
221,aa-rev,revai_v2-async,if_whether_del_23b,morpho_syntax,12,0.0012652889076339097
222,aa-rev,revai_v2-async,it_there_sub_24a,morpho_syntax,18,0.0018979333614508645
223,aa-rev,revai_v2-async,is_red_form,morpho_syntax,117,0.01233656684943062
224,aa-rev,revai_v2-async,is_lexical,morpho_syntax,431,0.045444959932517924
225,aa-rev,revai_v2-async,is_contraction,reductions,46,0.004850274145929988
226,aa-rev,revai_v2-async,filler_sub,verbatim,20,0.002108814846056516
227,aa-rev,revai_v2-async,filler_del,verbatim,1742,0.18367777309152256
228,aa-rev,revai_v2-async,del_restart,verbatim,370,0.03901307465204555
229,aa-rev,revai_v2-async,invariant_be_19b,morpho_syntax,33,0.003479544495993252
230,aa-rev,revai_v2-async,gone_go_19n,morpho_syntax,2,0.00021088148460565162
231,aa-rev,revai_v2-async,they_their_sub_8ish,morpho_syntax,10,0.001054407423028258
232,aa-rev,revai_v2-async,finna_19i,morpho_syntax,3,0.0003163222269084774
233,aa-rev,revai_v2-async,aint_sub_22a,morpho_syntax,4,0.00042176296921130323
234,aa-rev,revai_v2-async,here_go_24c,morpho_syntax,1,0.00010544074230282581
235,aa-rev,revai_v2-async,done_del_19g,morpho_syntax,1,0.00010544074230282581
236,aa-rev,revai_v2-async,all_combined,morpho_syntax,1012,0.10670603121045973
237,aa-rev,revai_v2-async,all_combined,reductions,46,0.004850274145929988
238,aa-rev,revai_v2-async,all_combined,verbatim,2132,0.22479966258962464
239,amber,openai-async,cop_aux_del_19a,morpho_syntax,71,0.00704854561699593
240,amber,openai-async,invariant_be_19b,morpho_syntax,38,0.0037724610344485256
241,amber,openai-async,future_ll_del_19c,morpho_syntax,25,0.002481882259505609
242,amber,openai-async,final_s_del_20a_21b,morpho_syntax,129,0.012806512459048942
243,amber,openai-async,switch_sin_plu_20b,morpho_syntax,34,0.0033753598729276283
244,amber,openai-async,stem_for_past_20e,morpho_syntax,50,0.004963764519011218
245,amber,openai-async,add_pronoun_21d,morpho_syntax,87,0.008636950263079519
246,amber,openai-async,aint_sub_22a,morpho_syntax,7,0.0006949270326615705
247,amber,openai-async,if_whether_del_23b,morpho_syntax,12,0.0011913034845626924
248,amber,openai-async,it_there_sub_24a,morpho_syntax,10,0.0009927529038022437
249,amber,openai-async,is_red_form,morpho_syntax,144,0.014295641814752309
250,amber,openai-async,is_lexical,morpho_syntax,483,0.04794996525364837
251,amber,openai-async,is_contraction,reductions,74,0.007346371488136603
252,amber,openai-async,filler_sub,verbatim,113,0.011218107812965353
253,amber,openai-async,filler_del,verbatim,1441,0.1430556934379033
254,amber,openai-async,del_restart,verbatim,281,0.027896356596843044
255,amber,openai-async,gone_go_19n,morpho_syntax,4,0.0003971011615208974
256,amber,openai-async,they_their_sub_8ish,morpho_syntax,2,0.0001985505807604487
257,amber,openai-async,here_go_24c,morpho_syntax,1,9.927529038022436e-05
258,amber,openai-async,all_combined,morpho_syntax,1097,0.10890499354710613
259,amber,openai-async,all_combined,reductions,74,0.007346371488136603
260,amber,openai-async,all_combined,verbatim,1835,0.1821701578477117
261,amber,revai_v2-async,cop_aux_del_19a,morpho_syntax,91,0.009559827712995062
262,amber,revai_v2-async,invariant_be_19b,morpho_syntax,47,0.0049374934341842635
263,amber,revai_v2-async,future_ll_del_19c,morpho_syntax,27,0.0028364323983611725
264,amber,revai_v2-async,final_s_del_20a_21b,morpho_syntax,147,0.015442798613299717
265,amber,revai_v2-async,switch_sin_plu_20b,morpho_syntax,32,0.003361697657316945
266,amber,revai_v2-async,stem_for_past_20e,morpho_syntax,67,0.007038554470007354
267,amber,revai_v2-async,add_pronoun_21d,morpho_syntax,98,0.010295199075533144
268,amber,revai_v2-async,aint_sub_22a,morpho_syntax,6,0.0006303183107469272
269,amber,revai_v2-async,if_whether_del_23b,morpho_syntax,13,0.001365689673285009
270,amber,revai_v2-async,is_red_form,morpho_syntax,279,0.029309801449732116
271,amber,revai_v2-async,is_lexical,morpho_syntax,526,0.055257905242147284
272,amber,revai_v2-async,is_contraction,reductions,83,0.008719403298665827
273,amber,revai_v2-async,filler_sub,verbatim,889,0.09339216304233638
274,amber,revai_v2-async,filler_del,verbatim,495,0.05200126063662149
275,amber,revai_v2-async,del_restart,verbatim,92,0.009664880764786218
276,amber,revai_v2-async,it_there_sub_24a,morpho_syntax,11,0.0011555835697027
277,amber,revai_v2-async,they_their_sub_8ish,morpho_syntax,8,0.0008404244143292363
278,amber,revai_v2-async,gone_go_19n,morpho_syntax,5,0.0005252652589557726
279,amber,revai_v2-async,done_del_19g,morpho_syntax,2,0.00021010610358230907
280,amber,revai_v2-async,all_combined,morpho_syntax,1359,0.142767097384179
281,amber,revai_v2-async,all_combined,reductions,83,0.008719403298665827
282,amber,revai_v2-async,all_combined,verbatim,1476,0.15505830444374408
283,openai-async,revai_v2-async,stem_for_past_20e,morpho_syntax,49,0.0058823529411764705
284,openai-async,revai_v2-async,is_contraction,reductions,41,0.004921968787515006
285,openai-async,revai_v2-async,filler_del,verbatim,1573,0.18883553421368549
286,openai-async,revai_v2-async,final_s_del_20a_21b,morpho_syntax,80,0.009603841536614645
287,openai-async,revai_v2-async,add_pronoun_21d,morpho_syntax,115,0.013805522208883553
288,openai-async,revai_v2-async,is_lexical,morpho_syntax,444,0.053301320528211286
289,openai-async,revai_v2-async,future_ll_del_19c,morpho_syntax,10,0.0012004801920768306
290,openai-async,revai_v2-async,cop_aux_del_19a,morpho_syntax,81,0.009723889555822329
291,openai-async,revai_v2-async,invariant_be_19b,morpho_syntax,32,0.0038415366146458585
292,openai-async,revai_v2-async,is_red_form,morpho_syntax,97,0.011644657863145258
293,openai-async,revai_v2-async,filler_sub,verbatim,25,0.003001200480192077
294,openai-async,revai_v2-async,switch_sin_plu_20b,morpho_syntax,11,0.0013205282112845138
295,openai-async,revai_v2-async,it_there_sub_24a,morpho_syntax,14,0.0016806722689075631
296,openai-async,revai_v2-async,gone_go_19n,morpho_syntax,4,0.0004801920768307323
